Time,Data1,Data2,Data3
2021-3-4-0-0-0,20,25,29
2021-3-4-0-0-1,17,22,29
2021-3-4-0-0-2,14,22,30
2021-3-4-0-0-3,13,20,30
2021-3-4-0-0-4,13,20,27
2021-3-4-0-0-5,10,20,26
2021-3-4-0-0-6,8,21,25
2021-3-4-0-0-7,5,21,25
2021-3-4-0-0-8,3,22,26
2021-3-4-0-0-9,1,25,27
2021-3-4-0-0-10,4,23,24
2021-3-4-0-0-11,6,25,27
2021-3-4-0-0-12,5,24,27
2021-3-4-0-0-13,6,26,30
2021-3-4-0-0-14,7,27,31
2021-3-4-0-0-15,4,27,30
2021-3-4-0-0-16,5,24,33
2021-3-4-0-0-17,3,26,31
2021-3-4-0-0-18,1,24,32
2021-3-4-0-0-19,2,21,35
2021-3-4-0-0-20,0,23,33
2021-3-4-0-0-21,2,22,33
2021-3-4-0-0-22,0,22,35
2021-3-4-0-0-23,1,25,38
2021-3-4-0-0-24,3,24,40
2021-3-4-0-0-25,2,21,42
2021-3-4-0-0-26,3,24,43
2021-3-4-0-0-27,6,22,40
2021-3-4-0-0-28,6,23,38
2021-3-4-0-0-29,9,25,36
2021-3-4-0-0-30,10,23,38
2021-3-4-0-0-31,12,25,38
2021-3-4-0-0-32,15,28,36
2021-3-4-0-0-33,17,31,34
2021-3-4-0-0-34,19,33,37
2021-3-4-0-0-35,22,35,37
2021-3-4-0-0-36,25,37,39
2021-3-4-0-0-37,28,35,41
2021-3-4-0-0-38,25,33,43
2021-3-4-0-0-39,27,34,45
2021-3-4-0-0-40,28,35,43
2021-3-4-0-0-41,31,34,42
2021-3-4-0-0-42,33,32,42
2021-3-4-0-0-43,35,30,42
2021-3-4-0-0-44,33,27,39
2021-3-4-0-0-45,35,30,36
2021-3-4-0-0-46,38,30,34
2021-3-4-0-0-47,41,29,37
2021-3-4-0-0-48,40,32,39
2021-3-4-0-0-49,40,35,41
2021-3-4-0-0-50,43,36,44
2021-3-4-0-0-51,42,39,43
2021-3-4-0-0-52,40,37,44
2021-3-4-0-0-53,37,37,43
2021-3-4-0-0-54,37,37,43
2021-3-4-0-0-55,36,35,44
2021-3-4-0-0-56,38,32,44
2021-3-4-0-0-57,41,35,47
2021-3-4-0-0-58,42,38,48
2021-3-4-0-0-59,45,36,45
2021-3-4-0-1-0,44,38,43
2021-3-4-0-1-1,46,41,40
2021-3-4-0-1-2,47,40,39
2021-3-4-0-1-3,46,39,39
2021-3-4-0-1-4,44,42,38
2021-3-4-0-1-5,44,42,38
2021-3-4-0-1-6,46,44,41
2021-3-4-0-1-7,49,46,38
2021-3-4-0-1-8,50,44,39
2021-3-4-0-1-9,53,42,36
2021-3-4-0-1-10,51,45,38
2021-3-4-0-1-11,49,47,38
2021-3-4-0-1-12,46,48,38
2021-3-4-0-1-13,47,49,39
2021-3-4-0-1-14,49,52,40
2021-3-4-0-1-15,46,53,39
2021-3-4-0-1-16,46,54,38
2021-3-4-0-1-17,47,51,38
2021-3-4-0-1-18,48,53,41
2021-3-4-0-1-19,45,50,39
2021-3-4-0-1-20,42,49,36
2021-3-4-0-1-21,45,52,38
2021-3-4-0-1-22,43,52,39
2021-3-4-0-1-23,43,51,40
2021-3-4-0-1-24,40,48,40
2021-3-4-0-1-25,37,51,38
2021-3-4-0-1-26,36,48,39
2021-3-4-0-1-27,34,45,38
2021-3-4-0-1-28,35,45,35
2021-3-4-0-1-29,35,48,35
2021-3-4-0-1-30,33,51,35
2021-3-4-0-1-31,34,54,37
2021-3-4-0-1-32,35,54,35
2021-3-4-0-1-33,32,54,36
2021-3-4-0-1-34,33,56,38
2021-3-4-0-1-35,33,56,41
2021-3-4-0-1-36,35,53,42
2021-3-4-0-1-37,35,55,40
2021-3-4-0-1-38,32,57,41
2021-3-4-0-1-39,30,57,38
2021-3-4-0-1-40,30,58,39
2021-3-4-0-1-41,29,57,37
2021-3-4-0-1-42,29,56,34
2021-3-4-0-1-43,30,56,33
2021-3-4-0-1-44,32,55,31
2021-3-4-0-1-45,31,55,29
2021-3-4-0-1-46,29,58,29
2021-3-4-0-1-47,32,58,30
2021-3-4-0-1-48,30,55,29
2021-3-4-0-1-49,31,55,26
2021-3-4-0-1-50,33,58,26
2021-3-4-0-1-51,30,56,27
2021-3-4-0-1-52,27,53,30
2021-3-4-0-1-53,29,53,30
2021-3-4-0-1-54,29,53,27
2021-3-4-0-1-55,26,54,27
2021-3-4-0-1-56,28,55,29
2021-3-4-0-1-57,26,55,26
2021-3-4-0-1-58,26,53,25
2021-3-4-0-1-59,25,56,23
2021-3-4-0-2-0,25,57,22
2021-3-4-0-2-1,24,55,23
2021-3-4-0-2-2,27,54,21
2021-3-4-0-2-3,27,55,21
2021-3-4-0-2-4,25,53,18
2021-3-4-0-2-5,28,51,18
2021-3-4-0-2-6,25,52,21
2021-3-4-0-2-7,27,54,19
2021-3-4-0-2-8,24,57,22
2021-3-4-0-2-9,23,56,25
2021-3-4-0-2-10,25,54,25
2021-3-4-0-2-11,26,55,28
2021-3-4-0-2-12,28,56,29
2021-3-4-0-2-13,26,58,31
2021-3-4-0-2-14,23,60,28
2021-3-4-0-2-15,26,57,26
2021-3-4-0-2-16,26,54,28
2021-3-4-0-2-17,27,51,31
2021-3-4-0-2-18,25,49,32
2021-3-4-0-2-19,27,47,35
2021-3-4-0-2-20,24,44,33
2021-3-4-0-2-21,26,45,32
2021-3-4-0-2-22,23,45,34
2021-3-4-0-2-23,21,47,35
2021-3-4-0-2-24,23,47,36
2021-3-4-0-2-25,23,50,36
2021-3-4-0-2-26,24,51,33
2021-3-4-0-2-27,22,51,35
2021-3-4-0-2-28,23,49,32
2021-3-4-0-2-29,23,50,35
2021-3-4-0-2-30,21,48,33
2021-3-4-0-2-31,21,48,33
2021-3-4-0-2-32,21,50,35
2021-3-4-0-2-33,18,53,34
2021-3-4-0-2-34,20,54,37
2021-3-4-0-2-35,18,55,40
2021-3-4-0-2-36,17,56,39
2021-3-4-0-2-37,16,59,41
2021-3-4-0-2-38,15,57,42
2021-3-4-0-2-39,15,56,40
2021-3-4-0-2-40,17,59,38
2021-3-4-0-2-41,14,57,40
2021-3-4-0-2-42,15,59,39
2021-3-4-0-2-43,13,60,38
2021-3-4-0-2-44,10,60,38
2021-3-4-0-2-45,12,62,39
2021-3-4-0-2-46,10,60,37
2021-3-4-0-2-47,13,59,36
2021-3-4-0-2-48,14,59,33
2021-3-4-0-2-49,13,56,30
2021-3-4-0-2-50,10,55,31
2021-3-4-0-2-51,7,57,28
2021-3-4-0-2-52,5,60,30
2021-3-4-0-2-53,5,62,28
2021-3-4-0-2-54,4,65,27
2021-3-4-0-2-55,3,66,27
2021-3-4-0-2-56,1,65,26
2021-3-4-0-2-57,4,66,27
2021-3-4-0-2-58,4,66,27
2021-3-4-0-2-59,1,67,26
2021-3-4-0-3-0,0,67,24
2021-3-4-0-3-1,2,70,26
2021-3-4-0-3-2,2,70,27
2021-3-4-0-3-3,5,73,27
2021-3-4-0-3-4,7,72,27
2021-3-4-0-3-5,5,71,28
2021-3-4-0-3-6,4,73,30
2021-3-4-0-3-7,1,75,28
2021-3-4-0-3-8,0,72,27
2021-3-4-0-3-9,1,75,28
2021-3-4-0-3-10,2,72,26
2021-3-4-0-3-11,4,71,25
2021-3-4-0-3-12,4,71,25
2021-3-4-0-3-13,7,68,27
2021-3-4-0-3-14,8,67,24
2021-3-4-0-3-15,11,67,26
2021-3-4-0-3-16,8,66,28
2021-3-4-0-3-17,7,68,25
2021-3-4-0-3-18,8,69,24
2021-3-4-0-3-19,7,67,26
2021-3-4-0-3-20,6,65,29
2021-3-4-0-3-21,4,65,30
2021-3-4-0-3-22,3,67,30
2021-3-4-0-3-23,4,64,27
2021-3-4-0-3-24,3,65,28
2021-3-4-0-3-25,3,65,26
2021-3-4-0-3-26,3,67,29
2021-3-4-0-3-27,6,65,28
2021-3-4-0-3-28,3,66,27
2021-3-4-0-3-29,6,67,29
2021-3-4-0-3-30,4,66,27
2021-3-4-0-3-31,5,69,30
2021-3-4-0-3-32,6,70,32
2021-3-4-0-3-33,3,73,31
2021-3-4-0-3-34,6,74,28
2021-3-4-0-3-35,9,73,29
2021-3-4-0-3-36,11,70,28
2021-3-4-0-3-37,11,71,30
2021-3-4-0-3-38,8,71,28
2021-3-4-0-3-39,10,73,27
2021-3-4-0-3-40,8,75,29
2021-3-4-0-3-41,8,72,27
2021-3-4-0-3-42,10,70,27
2021-3-4-0-3-43,13,67,25
2021-3-4-0-3-44,14,67,27
2021-3-4-0-3-45,12,69,29
2021-3-4-0-3-46,10,72,31
2021-3-4-0-3-47,12,72,28
2021-3-4-0-3-48,9,74,28
2021-3-4-0-3-49,12,72,27
2021-3-4-0-3-50,15,75,29
2021-3-4-0-3-51,18,73,26
2021-3-4-0-3-52,19,72,27
2021-3-4-0-3-53,22,75,26
2021-3-4-0-3-54,19,75,23
2021-3-4-0-3-55,17,77,24
2021-3-4-0-3-56,15,76,25
2021-3-4-0-3-57,18,78,26
2021-3-4-0-3-58,19,81,26
2021-3-4-0-3-59,21,81,28
2021-3-4-0-4-0,21,79,28
2021-3-4-0-4-1,20,80,29
2021-3-4-0-4-2,22,78,29
2021-3-4-0-4-3,20,76,27
2021-3-4-0-4-4,18,75,25
2021-3-4-0-4-5,15,75,25
2021-3-4-0-4-6,15,77,28
2021-3-4-0-4-7,18,77,28
2021-3-4-0-4-8,20,76,29
2021-3-4-0-4-9,23,73,28
2021-3-4-0-4-10,26,73,27
2021-3-4-0-4-11,24,74,29
2021-3-4-0-4-12,26,73,31
2021-3-4-0-4-13,28,76,30
2021-3-4-0-4-14,27,76,28
2021-3-4-0-4-15,26,77,27
2021-3-4-0-4-16,24,80,25
